SampleID,Site,SiteAbbreviation,FieldType,SiteSoil,Treatment,IncubationTime,Time,Longitude,Latitude_m,Description,Sample_order
SYRU1,SanYa,SY,Upland,SYUpland,RawSoil,Day0,RawSoil_D0,109.65,18.34,SYRU1,1
SYRU2,SanYa,SY,Upland,SYUpland,RawSoil,Day0,RawSoil_D0,109.65,18.34,SYRU2,1
SYRU3,SanYa,SY,Upland,SYUpland,RawSoil,Day0,RawSoil_D0,109.64,18.34,SYRU3,1
HKRU1,HaiKou,HK,Upland,HKUpland,RawSoil,Day0,RawSoil_D0,110.2,19.76,HKRU1,2
HKRU2,HaiKou,HK,Upland,HKUpland,RawSoil,Day0,RawSoil_D0,110.2,19.76,HKRU2,2
HKRU3,HaiKou,HK,Upland,HKUpland,RawSoil,Day0,RawSoil_D0,110.2,19.76,HKRU3,2
SXRU1,SuiXi,SX,Upland,SXUpland,RawSoil,Day0,RawSoil_D0,110.26,21.4,SXRU1,3
SXRU2,SuiXi,SX,Upland,SXUpland,RawSoil,Day0,RawSoil_D0,110.25,21.4,SXRU2,3
SXRU3,SuiXi,SX,Upland,SXUpland,RawSoil,Day0,RawSoil_D0,110.25,21.43,SXRU3,3
YLRU1,YuLin,YL,Upland,YLUpland,RawSoil,Day0,RawSoil_D0,110.1,22.57,YLRU1,4
YLRU2,YuLin,YL,Upland,YLUpland,RawSoil,Day0,RawSoil_D0,110.09,22.57,YLRU2,4
YLRU3,YuLin,YL,Upland,YLUpland,RawSoil,Day0,RawSoil_D0,110.09,22.56,YLRU3,4
WZRU1,WuZhou,WZ,Upland,WZUpland,RawSoil,Day0,RawSoil_D0,111.34,23.55,WZRU1,5
WZRU2,WuZhou,WZ,Upland,WZUpland,RawSoil,Day0,RawSoil_D0,111.35,23.55,WZRU2,5
WZRU3,WuZhou,WZ,Upland,WZUpland,RawSoil,Day0,RawSoil_D0,111.35,23.56,WZRU3,5
JHRU1,JiangHua,JH,Upland,JHUpland,RawSoil,Day0,RawSoil_D0,111.58,25.21,JHRU1,6
JHRU2,JiangHua,JH,Upland,JHUpland,RawSoil,Day0,RawSoil_D0,111.57,25.21,JHRU2,6
JHRU3,JiangHua,JH,Upland,JHUpland,RawSoil,Day0,RawSoil_D0,111.57,25.21,JHRU3,6
QYRU1,QiYang,QY,Upland,QYUpland,RawSoil,Day0,RawSoil_D0,111.87,26.76,QYRU1,7
QYRU2,QiYang,QY,Upland,QYUpland,RawSoil,Day0,RawSoil_D0,111.87,26.76,QYRU2,7
QYRU3,QiYang,QY,Upland,QYUpland,RawSoil,Day0,RawSoil_D0,111.87,26.77,QYRU3,7
LDRU1,LouDi,LD,Upland,LDUpland,RawSoil,Day0,RawSoil_D0,112.01,27.64,LDRU1,8
LDRU2,LouDi,LD,Upland,LDUpland,RawSoil,Day0,RawSoil_D0,112.01,27.64,LDRU2,8
LDRU3,LouDi,LD,Upland,LDUpland,RawSoil,Day0,RawSoil_D0,112.03,27.62,LDRU3,8
YiYangRU1,YiYang,YiYang,Upland,YiYangUpland,RawSoil,Day0,RawSoil_D0,112.44,28.58,YiYangRU1,9
YiYangRU2,YiYang,YiYang,Upland,YiYangUpland,RawSoil,Day0,RawSoil_D0,112.44,28.58,YiYangRU2,9
YiYangRU3,YiYang,YiYang,Upland,YiYangUpland,RawSoil,Day0,RawSoil_D0,112.44,28.58,YiYangRU3,9
HRRU1,HuaRong,HR,Upland,HRUpland,RawSoil,Day0,RawSoil_D0,112.66,29.51,HRRU1,10
HRRU2,HuaRong,HR,Upland,HRUpland,RawSoil,Day0,RawSoil_D0,112.66,29.51,HRRU2,10
HRRU3,HuaRong,HR,Upland,HRUpland,RawSoil,Day0,RawSoil_D0,112.66,29.51,HRRU3,10
QJRU1,QianJiang,QJ,Upland,QJUpland,RawSoil,Day0,RawSoil_D0,112.9,30.46,QJRU1,11
QJRU2,QianJiang,QJ,Upland,QJUpland,RawSoil,Day0,RawSoil_D0,112.9,30.46,QJRU2,11
QJRU3,QianJiang,QJ,Upland,QJUpland,RawSoil,Day0,RawSoil_D0,112.9,30.46,QJRU3,11
XGRU1,XiaoGan,XG,Upland,XGUpland,RawSoil,Day0,RawSoil_D0,113.85,30.94,XGRU1,12
XGRU2,XiaoGan,XG,Upland,XGUpland,RawSoil,Day0,RawSoil_D0,113.85,30.94,XGRU2,12
XGRU3,XiaoGan,XG,Upland,XGUpland,RawSoil,Day0,RawSoil_D0,113.85,30.94,XGRU3,12
XYRU1,XinYang,XY,Upland,XYUpland,RawSoil,Day0,RawSoil_D0,114.08,32.2,XYRU1,13
XYRU2,XinYang,XY,Upland,XYUpland,RawSoil,Day0,RawSoil_D0,114.08,32.2,XYRU2,13
XYRU3,XinYang,XY,Upland,XYUpland,RawSoil,Day0,RawSoil_D0,114.08,32.2,XYRU3,13
LHRU1,LuoHe,LH,Upland,LHUpland,RawSoil,Day0,RawSoil_D0,113.96,33.52,LHRU1,14
LHRU2,LuoHe,LH,Upland,LHUpland,RawSoil,Day0,RawSoil_D0,113.96,33.52,LHRU2,14
LHRU3,LuoHe,LH,Upland,LHUpland,RawSoil,Day0,RawSoil_D0,113.47,33.52,LHRU3,14
YYRU1,YuanYang,YY,Upland,YYUpland,RawSoil,Day0,RawSoil_D0,113.69,35.01,YYRU1,15
YYRU2,YuanYang,YY,Upland,YYUpland,RawSoil,Day0,RawSoil_D0,113.69,35,YYRU2,15
YYRU3,YuanYang,YY,Upland,YYUpland,RawSoil,Day0,RawSoil_D0,113.68,35.02,YYRU3,15
HDRU1,HanDan,HD,Upland,HDUpland,RawSoil,Day0,RawSoil_D0,114.44,36.43,HDRU1,16
HDRU2,HanDan,HD,Upland,HDUpland,RawSoil,Day0,RawSoil_D0,114.44,36.44,HDRU2,16
HDRU3,HanDan,HD,Upland,HDUpland,RawSoil,Day0,RawSoil_D0,114.44,36.44,HDRU3,16
XJRU1,XinJi,XJ,Upland,XJUpland,RawSoil,Day0,RawSoil_D0,115.22,37.88,XJRU1,17
XJRU2,XinJi,XJ,Upland,XJUpland,RawSoil,Day0,RawSoil_D0,115.22,37.88,XJRU2,17
XJRU3,XinJi,XJ,Upland,XJUpland,RawSoil,Day0,RawSoil_D0,115.22,37.88,XJRU3,17
