"","Eco_cluster","Name","RA","ID","Time","Group","FieldType","Factor","Latitude","Env"
"1","High AK","BZRU1",0.5526918,"AKBZRU1","raw","UB","Upland","AK",39.15,159.99
"2","High AK","BZRU2",0.505153,"AKBZRU2","raw","UB","Upland","AK",39.15,127.55
"3","High AK","BZRU3",0.3955979,"AKBZRU3","raw","UB","Upland","AK",39.14,114.42
"4","High AK","DHRU1",0.0516004,"AKDHRU1","raw","UB","Upland","AK",44.55,208.71
"5","High AK","DHRU2",0.00276,"AKDHRU2","raw","UB","Upland","AK",44.55,265.1
"6","High AK","DHRU3",0.0217855,"AKDHRU3","raw","UB","Upland","AK",44.55,185.16
"7","High AK","HDRU1",0.2403089,"AKHDRU1","raw","UB","Upland","AK",36.43,137.63
"8","High AK","HDRU2",0.0648713,"AKHDRU2","raw","UB","Upland","AK",36.44,143.77
"9","High AK","HDRU3",0.2491293,"AKHDRU3","raw","UB","Upland","AK",36.44,111.5
"10","High AK","HEBRU1",2.5416864,"AKHEBRU1","raw","UB","Upland","AK",45.83,543.37
"11","High AK","HEBRU2",2.1071852,"AKHEBRU2","raw","UB","Upland","AK",45.83,212.97
"12","High AK","HEBRU3",2.3812639,"AKHEBRU3","raw","UB","Upland","AK",45.83,172.17
"13","High AK","HKRU1",0.01084,"AKHKRU1","raw","UB","Upland","AK",19.76,171.59
"14","High AK","HKRU2",0.0479557,"AKHKRU2","raw","UB","Upland","AK",19.76,294.03
"15","High AK","HKRU3",0.01298,"AKHKRU3","raw","UB","Upland","AK",19.76,244.11
"16","High AK","HLRU1",0.0534889,"AKHLRU1","raw","UB","Upland","AK",47.46,188.82
"17","High AK","HLRU2",0.0608236,"AKHLRU2","raw","UB","Upland","AK",47.46,253.47
"18","High AK","HLRU3",0,"AKHLRU3","raw","UB","Upland","AK",47.46,148.43
"19","High AK","HMRU1",0.0559114,"AKHMRU1","raw","UB","Upland","AK",51.72,301.1
"20","High AK","HMRU2",0.0401359,"AKHMRU2","raw","UB","Upland","AK",51.72,285.72
"21","High AK","HMRU3",0.1464121,"AKHMRU3","raw","UB","Upland","AK",51.72,282.03
"22","High AK","HRRU1",0.0863175,"AKHRRU1","raw","UB","Upland","AK",29.51,144.32
"23","High AK","HRRU2",0.0527509,"AKHRRU2","raw","UB","Upland","AK",29.51,130.1
"24","High AK","HRRU3",0.1419401,"AKHRRU3","raw","UB","Upland","AK",29.51,124.88
