"","Field_types","Ecological_cluster","Phylum","Count","domain"
"1","Paddy","High AK","Acidobacteriota",1,"Bacteria"
"2","Paddy","High AK","Alphaproteobacteria",2,"Bacteria"
"3","Paddy","High AK","Low number",1,"Bacteria"
"4","Paddy","High AP","Acidobacteriota",2,"Bacteria"
"5","Paddy","High AP","Gammaproteobacteria",4,"Bacteria"
"6","Paddy","High MAT","Acidobacteriota",1,"Bacteria"
"7","Paddy","High MAT","Actinobacteriota",2,"Bacteria"
"8","Paddy","High MAT","Chloroflexi",2,"Bacteria"
"9","Paddy","High MAT","Desulfobacterota",6,"Bacteria"
"10","Paddy","High MAT","Firmicutes",28,"Bacteria"
"11","Paddy","High MAT","Gammaproteobacteria",2,"Bacteria"
"12","Paddy","High MAT","Low number",3,"Bacteria"
"13","Paddy","High MAT","Myxococcota",3,"Bacteria"
"14","Paddy","High NH N","Acidobacteriota",18,"Bacteria"
"15","Paddy","High NH N","Actinobacteriota",2,"Bacteria"
"16","Paddy","High NH N","Alphaproteobacteria",7,"Bacteria"
"17","Paddy","High NH N","Bacteroidota",1,"Bacteria"
"18","Paddy","High NH N","Chloroflexi",17,"Bacteria"
"19","Paddy","High NH N","Desulfobacterota",12,"Bacteria"
"20","Paddy","High NH N","Firmicutes",8,"Bacteria"
"21","Paddy","High NH N","Gammaproteobacteria",14,"Bacteria"
"22","Paddy","High NH N","Low number",22,"Bacteria"
"23","Paddy","High NH N","Myxococcota",5,"Bacteria"
"24","Paddy","High NH N","Verrucomicrobiota",3,"Bacteria"
"25","Paddy","High NO N","Acidobacteriota",32,"Bacteria"
"26","Paddy","High NO N","Actinobacteriota",16,"Bacteria"
"27","Paddy","High NO N","Alphaproteobacteria",15,"Bacteria"
"28","Paddy","High NO N","Bacteroidota",8,"Bacteria"
"29","Paddy","High NO N","Chloroflexi",30,"Bacteria"
"30","Paddy","High NO N","Desulfobacterota",5,"Bacteria"
"31","Paddy","High NO N","Firmicutes",8,"Bacteria"
"32","Paddy","High NO N","Gammaproteobacteria",26,"Bacteria"
"33","Paddy","High NO N","Low number",33,"Bacteria"
"34","Paddy","High NO N","Myxococcota",3,"Bacteria"
"35","Paddy","High NO N","Verrucomicrobiota",1,"Bacteria"
"36","Paddy","High OM","Acidobacteriota",1,"Bacteria"
"37","Paddy","High OM","Actinobacteriota",13,"Bacteria"
"38","Paddy","High OM","Alphaproteobacteria",1,"Bacteria"
"39","Paddy","High OM","Bacteroidota",1,"Bacteria"
"40","Paddy","High OM","Chloroflexi",2,"Bacteria"
"41","Paddy","High OM","Firmicutes",1,"Bacteria"
"42","Paddy","High OM","Gammaproteobacteria",4,"Bacteria"
"43","Paddy","High OM","Low number",6,"Bacteria"
"44","Paddy","High pH","Acidobacteriota",21,"Bacteria"
"45","Paddy","High pH","Actinobacteriota",17,"Bacteria"
"46","Paddy","High pH","Alphaproteobacteria",7,"Bacteria"
"47","Paddy","High pH","Bacteroidota",5,"Bacteria"
"48","Paddy","High pH","Chloroflexi",39,"Bacteria"
"49","Paddy","High pH","Desulfobacterota",6,"Bacteria"
"50","Paddy","High pH","Firmicutes",1,"Bacteria"
"51","Paddy","High pH","Gammaproteobacteria",18,"Bacteria"
"52","Paddy","High pH","Low number",20,"Bacteria"
"53","Paddy","High pH","Myxococcota",9,"Bacteria"
"54","Paddy","High pH","Verrucomicrobiota",3,"Bacteria"
"55","Paddy","High TAP","Acidobacteriota",17,"Bacteria"
"56","Paddy","High TAP","Actinobacteriota",13,"Bacteria"
"57","Paddy","High TAP","Alphaproteobacteria",9,"Bacteria"
"58","Paddy","High TAP","Bacteroidota",1,"Bacteria"
"59","Paddy","High TAP","Chloroflexi",9,"Bacteria"
"60","Paddy","High TAP","Desulfobacterota",12,"Bacteria"
"61","Paddy","High TAP","Firmicutes",6,"Bacteria"
"62","Paddy","High TAP","Gammaproteobacteria",9,"Bacteria"
"63","Paddy","High TAP","Low number",31,"Bacteria"
"64","Paddy","High TAP","Myxococcota",6,"Bacteria"
"65","Paddy","High TAP","Verrucomicrobiota",1,"Bacteria"
"66","Paddy","High TK","Acidobacteriota",2,"Bacteria"
"67","Paddy","High TK","Alphaproteobacteria",2,"Bacteria"
"68","Paddy","High TK","Bacteroidota",1,"Bacteria"
"69","Paddy","High TK","Chloroflexi",3,"Bacteria"
"70","Paddy","High TK","Gammaproteobacteria",2,"Bacteria"
"71","Paddy","High TK","Low number",3,"Bacteria"
"72","Paddy","High TN","Acidobacteriota",7,"Bacteria"
"73","Paddy","High TN","Actinobacteriota",7,"Bacteria"
"74","Paddy","High TN","Alphaproteobacteria",5,"Bacteria"
"75","Paddy","High TN","Bacteroidota",1,"Bacteria"
"76","Paddy","High TN","Chloroflexi",10,"Bacteria"
"77","Paddy","High TN","Desulfobacterota",4,"Bacteria"
"78","Paddy","High TN","Gammaproteobacteria",11,"Bacteria"
"79","Paddy","High TN","Low number",21,"Bacteria"
"80","Paddy","High TN","Myxococcota",1,"Bacteria"
"81","Paddy","High TP","Acidobacteriota",8,"Bacteria"
