SampleID,TAP,MAT,pH,AP,AK,TP,TK,NH_N,NO_N,TN,OM,Longitude,Latitude,Altitude
SYRU1,1150.53,25.17,6.61,19.45,85.95,0.08,0.61,5.33,6.06,1.1,22.412,109.65,18.34,40
SYRU2,1150.53,25.17,6.28,75.73,223.91,0.11,0.7,3.73,66.22,1,17.757,109.65,18.34,30
SYRU3,1150.53,25.17,6.11,65.37,191.38,0.19,2.82,2.46,22.52,0.7,13.792,109.64,18.34,40
HKRU1,1552.93,24.72,5.89,63.35,171.59,0.21,0.36,2.83,14.54,1.3,25.343,110.2,19.76,50
HKRU2,1552.93,24.72,5.96,20.18,294.03,0.17,0.4,1.94,6.23,1.3,25.17,110.2,19.76,40
HKRU3,1552.93,24.72,5.74,12.2,244.11,0.22,0.45,6.8,23.69,1.4,27.584,110.2,19.76,40
SXRU1,1829.25,23.82,5.51,151.41,134.86,0.12,0.47,6.26,22.98,1.2,26.55,110.26,21.4,20
SXRU2,1829.25,23.82,5.35,80.45,108.74,0.15,0.56,7.43,26.83,1.2,28.791,110.25,21.4,30
SXRU3,1815.92,23.82,5.22,25.34,48.72,0.11,0.33,5.86,0.86,0.8,15.688,110.25,21.43,30
YLRU1,1644.71,22.17,5.65,19.97,92.39,0.08,0.4,0.71,13.69,1.1,23.791,110.1,22.57,70
YLRU2,1644.71,22.17,5.55,35.93,111.1,0.24,0.42,0.06,13.9,1,18.792,110.09,22.57,80
YLRU3,1644.71,22.17,5.39,97.73,178.61,0.12,0.44,2.73,24.71,1.4,28.446,110.09,22.56,80
WZRU1,1639.44,22.15,5.98,2.66,90.03,0.05,1.13,0.28,6.97,0.7,9.137,111.34,23.55,20
WZRU2,1639.44,22.15,5.61,3.85,84.79,0.06,1.11,1.47,11.03,0.9,12.585,111.35,23.55,30
WZRU3,1639.44,22.15,5.51,2.31,60.09,0.05,1.19,0.2,0.72,0.6,7.586,111.35,23.56,30
JHRU1,1564.77,18.7,6.1,22.27,257.77,0.11,0.88,-0.22,15.52,1.2,21.033,111.58,25.21,220
JHRU2,1564.77,18.7,5.75,21.66,95.96,0.09,1.01,3.31,0.45,1.1,20.688,111.57,25.21,210
JHRU3,1564.77,18.7,5.46,12.51,223.43,0.06,0.79,0.74,2.8,1.2,23.619,111.57,25.21,200
