Name,High AK,High AP,High MAT,High NH_N,High NO_N,High OM,High pH,High TAP,High TK,High TN,High TP,Low AK,Low AP,Low MAT,Low NO_N,Low OM,Low pH,Low TAP,Low TK,Low TN,Low TP
DHRP1,0.0144279,0.170732,0.4809219,3.1670352,0.2732445,0.1547026,0.8679919,1.1533434,0.01762,4.8629186,0.3991209,0.01441,0.3174108,27.6643431,0.5626763,0.8905138,3.4321182,18.0404674,0.00721,3.2029796,3.8135411
DHRP2,0.0225681,0.1662792,0.3858108,2.3187766,0.4109472,0.2853654,1.1130185,1.0516495,0.01203,1.136228,0.4619093,0.0247137,0.6107146,27.4126967,0.3266195,0.6145619,4.5107232,21.735507,0.0247084,3.9239508,3.5324576
DHRP3,0.3976613,0.0475764,1.6263439,1.268008,3.3585515,2.030641,6.4474873,0.970618,0.1469919,1.6482705,0.9179598,0.01683,0.3715571,19.3288767,0.1254778,0.1166827,1.4171643,34.9277068,0.0173438,3.300526,3.1610223
HDRP1,0.0872001,0.1459024,1.9818505,1.2030208,16.3664256,2.0178172,7.155218,1.1657115,0.4402296,0.5324193,1.8367162,0.0368313,0.3508715,4.9152927,0.0505933,0.1246918,1.6954359,27.5839879,0.0149758,3.5975333,1.1636106
HDRP2,0.1088753,0.1647141,1.6708307,1.3953858,13.1439014,0.8945694,5.6413308,0.9124174,0.2694887,0.4265099,1.2971401,0.0287948,0.4262478,4.4518945,0.0462313,0.1724102,1.4250751,40.4834196,0.0121268,6.8550272,1.1604597
HDRP3,0.1043403,0.1513622,2.8882388,0.7392782,18.5884787,3.2414326,6.8702243,0.9260953,0.3946938,0.453501,1.8430121,0.0255594,0.3936248,5.2438445,0.070645,0.1442381,1.5791009,39.17184,0.0120294,5.5559382,1.4814685
HEBRP1,0.5242226,0.0614738,0.8536873,1.2821269,3.0235063,1.5225261,6.6711801,0.9980097,0.1263454,1.3451755,1.0782121,0.0256093,0.3318623,22.6831549,0.1219084,0.1289526,1.2620981,37.4019871,0.011864,3.3660271,4.2244295
HEBRP2,0.5875529,0.0632454,1.1673985,1.4066336,3.5885027,5.0030671,6.9892612,1.1226983,0.1322532,1.7495196,1.0029107,0.0251222,0.3954392,24.1608715,0.1502354,0.1157133,1.5349507,39.3139506,0.0162299,2.9556324,2.6303011
HEBRP3,0.1465036,0.1622443,0.6893306,2.2649499,0.6356776,0.8211953,1.8984099,1.5496965,0.0384363,0.7869149,1.0820704,0.0258646,0.6285148,24.0178379,0.2079388,0.4993874,4.2953399,19.0265723,0.0172376,3.0603775,10.5005593
HKRP1,0.0804579,0.1961069,6.0152831,5.9250435,1.4922551,0.363565,0.3287871,6.1558702,0.01324,1.1742945,24.0700901,0.0528796,0.0628453,2.7833952,0.0505916,0.0926165,11.6903908,2.1388988,0.1724147,1.2810433,1.15152
HKRP2,0.1192898,0.1381199,6.6573444,6.6112126,2.1812412,0.6022035,0.4549785,6.2335268,0.0113059,0.9448885,32.4563361,0.0317427,0.0784058,3.8776307,0.0529045,0.0834863,7.0792982,3.3833638,0.095228,2.0012385,0.943705
HKRP3,0.0504668,0.3345921,2.5979107,3.5927864,1.484629,0.5751997,0.2859695,3.9445938,0.00356,0.2560474,31.5205518,0.00841,0.0510288,3.2659958,0,0.0947985,11.1348091,1.9803164,0.0504657,1.5315308,0.5775177
HLRP1,0.1196655,0.1336747,0.8709767,1.3817377,2.366635,4.5046537,2.8792882,1.2883225,0.212681,1.2509479,1.386305,0.0385633,0.1221283,25.0330226,0.1675066,0.0493339,2.0311664,20.8861875,0.029021,2.2437696,9.3138551
HLRP2,0.080785,0.2147106,0.6431177,1.3477063,2.8566387,1.9591738,1.8819484,2.0255769,0.040866,0.9703418,2.9726556,0.0329546,0.0771962,21.3405138,0.1254669,0.040813,4.1679897,13.0358491,0.0956739,1.9703301,7.6100315
HLRP3,0.1119157,0.1927898,0.7426244,1.1863935,3.4586663,3.0755784,2.4918275,2.0621567,0.0796165,2.1275679,2.3048634,0.0554086,0.1526895,26.2049036,0.1402104,0.0392081,3.4134179,13.7122378,0.0545705,1.238698,7.5914467
HMRP1,0.01326,0.8023106,0.4302093,2.8706683,0.3045726,0.21506,0.214735,1.5013467,0.029533,0.4687295,1.6078642,0.0501409,0.1504696,66.7801525,1.0080825,0.0232477,7.7282288,6.3939941,0.0766843,6.9763158,24.5527256
HMRP2,0.01876,1.0824247,0.3387324,2.7130518,0.3708345,0.5720253,0.2214256,1.7466404,0.0413321,1.172831,1.9632025,0.0457115,0.1281678,79.2057055,0.731371,0.0319406,5.45357,7.1235444,0.1078293,5.053952,19.3351721
HMRP3,0.005977,0.7049213,0.4312459,3.8014929,0.273138,0.2080481,0.1396178,1.4639767,0.00744,0.4576621,1.5952563,0.0476694,0.1410255,69.7193532,0.864995,0.0513293,6.5378194,6.8589977,0.0953228,7.0020064,3.1455383
