Upland,IncMSE,factor,sig
Low pH,19.90621558,Low pH,***
High AP,13.46259658,High AP,**
Low TAP,8.398026995,Low TAP,*
Low NO_N,8.130665959,Low NO_N,*
Low OM,7.755634013,Low OM,*
High OM,6.575755197,High OM,*
Low TN,5.9191339,Low TN,*
High TAP,5.820607123,High TAP,
High TP,5.658192878,High TP,
Low MAT,5.612291028,Low MAT,
High pH,5.601496648,High pH,
High TN,5.334946523,High TN,
High MAT,5.121569137,High MAT,
High NH_N,5.078404436,High NH_N,
High NO_N,4.651583218,High NO_N,
Low AP,3.825740404,Low AP,
High AK,3.464714716,High AK,
Low TK,3.33746697,Low TK,
Low TP,2.665821074,Low TP,
Low AK,1.69664097,Low AK,
High TK,1.314574901,High TK,
