Name,High AK,High AP,High MAT,High NH_N,High NO_N,High OM,High pH,High TAP,High TK,High TN,High TP,Low AK,Low AP,Low MAT,Low NO_N,Low OM,Low pH,Low TAP,Low TK,Low TN,Low TP
BZRU1,0.5618018,0.2750595,2.0319977,0.9888141,0.0318861,0.4410818,50.7406614,0.9962455,0.3826328,0.5999011,0.0863159,0.0212574,0.8845458,9.9755092,0.00701,0.0903438,0.7627157,5.6343705,0.4858494,0.00561,0.0814071
BZRU2,0.5425128,0.4519161,3.2411145,0.929626,0.027449,0.2893853,51.8012205,1.183081,0.4179758,0.4723495,0.1093179,0.016719,1.2500091,13.4087379,0.00588,0.0835909,0.7434814,5.1521353,0.5982329,0.000575,0.0534581
BZRU3,0.3967879,0.4352401,2.439512,1.1083209,0.0271011,0.4330186,52.5719905,0.7550093,0.4584385,0.5124056,0.0810682,0.0197183,0.9410725,13.5597736,0.005523,0.062852,0.9250368,4.5921037,0.4554149,0.00119,0.0502907
DHRU1,0.0521344,2.9523477,0.5401116,2.769994,0.3295416,0.3665538,5.9319174,1.7242121,0.445652,4.5766731,0.0174015,0.00586,0.2503888,73.8128318,0.00117,0.0820903,7.1091835,3.2278347,0.7786757,0.00214,0.2152654
DHRU2,0.00349,3.6372612,0.6648836,3.1677947,0.6965681,0.1940022,2.7840473,1.3820326,0.2358733,3.0098777,0.0189699,0.00414,0.124622,50.2083596,0.00146,0.1655249,8.2370623,2.2758516,0.4745888,0.00365,0.210056
DHRU3,0.0241855,4.2349291,0.5267837,4.0212271,0.326826,0.2512437,3.2174814,1.6161066,0.2818067,3.6775327,0.0172529,0.00872,0.1367097,68.579331,0,0.2251431,7.6858266,2.89061,0.5173248,0.00431,0.2090705
HDRU1,0.2406389,0.2630145,2.6309422,0.4418264,0.0627566,0.4913363,60.7403702,1.0840385,0.3704227,0.4169484,0.0652846,0.0137759,2.0113044,6.9952301,0.0985077,0.0482147,0.8309729,4.7555278,0.5175,0.00792,0.113608
HDRU2,0.0650773,0.2189985,1.4227437,0.4924905,0.0343417,0.5752595,50.9007004,0.903526,0.5056246,0.3711403,0.1669412,0.0219417,1.2585163,4.7553091,0.0359107,0.0543774,0.8412382,3.1664126,0.3460032,0.00185,0.0865497
HDRU3,0.2491293,0.279736,2.6390355,0.7614087,0.0305056,0.770265,56.0790959,1.0937585,0.3101314,0.3321937,0.0910534,0.0228792,2.7204458,7.9405319,0.1437322,0.0635491,0.832799,5.5803576,0.4720677,0.00578,0.1016146
HEBRU1,2.6630571,0.5840983,0.9982844,1.3915445,0.0405049,0.4528587,31.2680317,1.0744195,0.6936466,2.441509,0.0577857,0.00844,0.8129141,55.3687826,0.00169,0.0253202,1.1013132,4.5321891,0.4907255,0.00222,0.0989062
