"","CO2_observed","CO2_predicted","Type","Field"
"LHRU1",218.827,219.573532249999,"Train","Upland"
"YLRU1",119.242,142.532230883333,"Train","Upland"
"QYRU3",504.631,406.624637999999,"Train","Upland"
"HKRU2",163.476,180.839214066666,"Train","Upland"
"XGRU1",333.916,311.138620483334,"Train","Upland"
"PJRU3",152.708,146.855775866667,"Train","Upland"
"QYRU2",295.698,298.307566616667,"Train","Upland"
"QHDRU1",376.58,276.407481799998,"Train","Upland"
"YLRU3",178.247,186.983303066667,"Train","Upland"
"JHRU1",86.703,107.708273783333,"Train","Upland"
"XGRU3",315.543,316.098447500001,"Train","Upland"
"SXRU3",220.252,226.143136600001,"Train","Upland"
"HDRU3",87.178,103.893664633333,"Train","Upland"
"JHRU2",106.713,142.945980383333,"Train","Upland"
"HDRU1",80.221,91.0870626166666,"Train","Upland"
"YYRU2",127.38,129.0504357,"Train","Upland"
"XJRU3",55.841,78.9345416500002,"Train","Upland"
"MHRU3",143.735,141.450267683333,"Train","Upland"
"YiYangRU2",263.322,273.164187116665,"Train","Upland"
"HKRU3",137.415,165.190738483333,"Train","Upland"
"LHRU2",289.917,269.279315166666,"Train","Upland"
"XYRU2",270.1,270.165911083334,"Train","Upland"
"QHDRU3",112.053,142.848286216667,"Train","Upland"
"XJRU1",81.317,93.6985726499998,"Train","Upland"
"XGRU2",230.684,241.955273533334,"Train","Upland"
"PJRU2",106.82,115.475289033334,"Train","Upland"
"HEBRU1",63.178,82.10913305,"Train","Upland"
"HRRU2",94.712,105.1232839,"Train","Upland"
"JHRU3",99.472,152.82887555,"Train","Upland"
"SPRU2",223.602,221.41760085,"Train","Upland"
"SYSRU1",178.166,213.606745,"Train","Upland"
"SXRU1",303.556,293.315802433334,"Train","Upland"
"SXRU2",335.008,290.632909433332,"Train","Upland"
"WZRU1",98.195,113.888601333334,"Train","Upland"
"NJRU2",97.947,120.578653183333,"Train","Upland"
"XYRU3",230.616,247.108926166667,"Train","Upland"
"MHRU1",165.312,172.868657500001,"Train","Upland"
"LDRU2",484.87,400.828513666666,"Train","Upland"
