OBJECTID_1,TAP,MAT,pH,AP,AK,TP,TK,TN,OM
9125,650.516,2.36592,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
9126,655.493,2.34742,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
9132,647.461,2.09221,6.763,5.41,148.12,0.09176,2.536,0.1617,3.796
9240,617.182,2.55829,6.548,4.644,152.82,0.07787,2.152,0.1358,3.053
9248,634.115,2.69038,6.99,6.439,125.66,0.09052,2.316,0.172,3.211
9252,644.823,2.5075,8.157,4.224,123.2,0.04946,2.447,0.1473,2.565
9256,649.476,2.38671,6.763,5.41,148.12,0.0978,2.536,0.2137,4.521
9257,646.68,2.39008,6.763,5.41,148.12,0.0978,2.536,0.2137,4.521
9361,596.442,2.35675,5.975,8.139,145.12,0.1209,2.077,0.43,7.151
9371,616.371,2.90304,6.548,4.644,152.82,0.07787,2.152,0.1358,3.053
9381,638.752,2.66512,8.157,4.224,123.2,0.04946,2.447,0.1473,2.565
9382,640.419,2.6465,6.845,4.644,152.82,0.08997,2.225,0.1911,3.25
9506,624.945,2.89467,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
9507,628.76,2.81029,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
9629,603.416,2.88183,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
9633,621.73,2.9075,6.868,5.815,218.91,0.08032,1.729,0.1532,3.065
9636,627.462,2.86508,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
9744,575.659,2.64683,6.019,16.91,145.12,0.1109,1.825,0.308,8.15
9758,601.555,3.05137,6.073,11,77.11,0.04,1.423,0.1165,2.019
9759,603.76,2.93642,6.073,11,77.11,0.04,1.423,0.1165,2.019
9760,605.321,2.92196,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
11115,603.494,3.19246,6.548,4.644,152.82,0.08523,2.138,0.2048,3.709
11116,596.175,3.02088,6.073,11,77.11,0.04,1.423,0.1165,2.019
11117,597.908,2.99896,6.073,11,77.11,0.04,1.423,0.1165,2.019
11118,600.425,3.03117,6.073,11,77.11,0.04,1.423,0.1165,2.019
11234,575.892,3.00612,6.99,6.633,128.15,0.09052,2.316,0.172,3.211
11244,601.405,3.27538,8.157,4.224,123.2,0.04946,2.399,0.1473,2.73
11246,598.046,3.03142,6.073,11,77.11,0.04,1.423,0.1165,2.019
11247,596.446,3.05954,6.073,11,77.11,0.04,1.423,0.1165,2.019
11248,599.326,3.067,6.073,11,77.11,0.04,1.423,0.1165,2.019
11375,593.862,3.10171,6.073,11,77.11,0.04,1.423,0.1165,2.019
11376,599.63,3.09058,6.073,11,77.11,0.04,1.423,0.1165,2.019
11505,597.689,3.14283,6.073,11,77.11,0.04,1.423,0.1165,2.019
11506,598.862,3.13025,6.073,11,77.11,0.04,1.423,0.1165,2.019
11507,603.732,3.19017,6.073,11,77.11,0.04,1.423,0.1165,2.019
11627,579.975,3.38254,6.548,4.644,152.82,0.08523,2.138,0.2048,3.709
11759,608.753,3.24804,8.157,4.224,123.2,0.04281,2.399,0.1579,2.915
11870,585.219,3.49492,8.136,4.89,220.4,0.05621,1.858,0.09277,1.689
11874,607.483,3.31554,8.157,4.224,123.2,0.04281,2.399,0.1579,2.915
11995,672.198,2.19158,6.763,5.41,148.12,0.0978,2.536,0.2137,4.521
12538,626.623,3.25692,8.198,4.681,151.65,0.04946,2.447,0.1378,2.615
12541,638.237,3.02392,8.245,5.089,134.43,0.05388,2.025,0.1895,2.307
12637,617.505,3.20533,8.198,4.681,151.65,0.04946,2.447,0.1378,2.615
12797,602.903,2.26983,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
12800,619.323,2.12504,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
12801,620.269,2.10862,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
12819,590.187,2.28675,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
12822,608.654,2.32771,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
12826,621.151,2.2035,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
12844,584.293,2.23304,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
12845,586.469,2.26846,5.697,9.42,121.4,0.05412,2.278,0.1931,3
12846,590.898,2.25258,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
12851,614.277,2.21975,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
12860,543.073,2.1955,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
12861,546.057,2.34071,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
12862,549.836,2.32712,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
12863,554.264,2.29933,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
12865,559.42,2.43183,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
12866,565.501,2.39058,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
12868,568.365,2.20233,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
12870,582.276,2.32188,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
12871,585.5,2.39283,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
12878,620.012,2.23954,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
12886,539.449,2.24913,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
12889,542.441,2.30325,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
12892,551.94,2.39996,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
12896,563.234,2.31154,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
12899,580.982,2.30837,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
12901,592.665,2.31887,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
12904,603.081,2.34937,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
12907,615.272,2.35267,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
20858,568.46,3.60996,6.99,6.633,128.15,0.09052,2.316,0.172,3.211
20865,592.774,3.593,8.136,4.89,220.4,0.05621,1.858,0.09277,1.689
20956,568.387,3.65267,6.99,6.633,128.15,0.09052,2.316,0.172,3.211
20962,583.186,3.62529,8.136,4.89,220.4,0.05621,1.858,0.09277,1.689
21048,572.469,3.63333,8.184,4.224,123.2,0.04946,2.442,0.1482,2.68
21128,566.414,3.74208,8.184,4.224,123.2,0.04946,2.437,0.1465,2.779
21131,568.375,3.70521,8.184,4.224,123.2,0.04946,2.442,0.1482,2.68
21132,567.237,3.73238,6.99,6.633,128.15,0.09052,2.316,0.172,3.211
21133,567.924,3.68367,6.99,6.633,128.15,0.09052,2.316,0.172,3.211
21406,560.706,4.21621,7.65,4.83,140.26,0.04636,2.554,0.1217,1.951
21407,560.854,4.27925,7.65,4.83,140.26,0.04636,2.554,0.1217,1.951
21527,558.587,4.05317,6.99,7.686,119.09,0.09052,2.316,0.172,3.211
21583,565.029,3.75546,6.99,7.686,119.09,0.09052,2.316,0.172,3.211
21586,557.704,4.22575,6.99,7.686,119.09,0.09052,2.316,0.172,3.211
21837,567.83,3.82404,6.99,7.686,119.09,0.09052,2.316,0.172,3.211
23674,662.4,2.92958,8.198,4.681,151.65,0.04946,2.447,0.1378,2.615
23752,662.941,1.72342,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
23760,597.238,3.44579,8.157,4.224,123.2,0.04281,2.399,0.1579,2.915
23761,601.833,3.47575,8.157,4.224,123.2,0.04281,2.399,0.1579,2.915
23767,630.113,3.29883,7.65,5.087,140.57,0.06091,2.382,0.1763,2.972
23772,648.097,3.32071,8.251,2.569,133.98,0.03959,1.965,0.149,1.845
23776,663.51,2.99108,8.198,4.681,151.65,0.04946,2.447,0.1378,2.615
23780,662.524,2.98046,8.204,4.681,151.65,0.03093,2.311,0.1274,2.135
23856,662.97,1.93517,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
23871,619.589,3.52013,6.99,6.828,109,0.09052,2.316,0.172,3.211
23876,640.41,3.41662,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
23877,642.344,3.30517,8.157,4.681,151.65,0.04946,2.447,0.1473,2.565
23878,641.146,3.35408,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
23879,648.056,3.20904,8.198,4.681,151.65,0.04946,2.399,0.1291,2.45
23880,649.792,3.15654,8.198,4.681,151.65,0.04946,2.399,0.1291,2.45
23882,657.601,3.16721,8.198,4.681,151.65,0.04946,2.399,0.1291,2.45
23883,661.675,3.07192,8.301,5.089,142.33,0.05446,2.111,0.1895,2.307
23963,658.639,2.14846,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
23971,573.117,3.66392,6.99,6.633,128.15,0.09052,2.316,0.172,3.211
23974,585.762,3.78838,6.339,5.815,218.91,0.06928,1.869,0.1532,3.611
23979,616.772,3.59525,8.157,4.224,123.2,0.04946,2.399,0.1473,2.565
23980,621.797,3.57292,8.212,5.089,134.43,0.05388,2.025,0.1895,2.307
23984,635.735,3.39379,7.917,5.427,100.57,0.1074,2.106,0.1976,5.874
23985,638.72,3.36792,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
24019,653.319,2.22775,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
24068,673.621,2.01042,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
24097,636.86,3.53042,8.392,5.343,104.47,0.03921,2.267,0.1437,2.18
24103,663.329,3.17133,8.301,5.089,142.33,0.05446,2.111,0.1895,2.307
24124,662.877,2.58988,6.704,4.644,152.82,0.09307,2.341,0.1958,3.7
24184,657.295,2.46833,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
24186,658.332,2.50967,5.869,10.13,163.3,0.09371,2.262,0.4355,9.314
24187,645.241,2.35029,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
24210,609.477,3.72725,6.99,6.828,109,0.09052,2.316,0.172,3.211
24213,623.815,3.73854,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
24305,655.488,2.43608,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
24307,647.905,2.44933,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
24308,645.676,2.95008,5.955,7.853,147.32,0.1028,2.006,0.2721,5.384
24311,611.742,2.54196,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
24315,571.027,2.68583,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
24316,564.048,2.60225,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
24319,549.512,2.68821,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
24323,542.362,2.70546,6.406,5.815,218.91,0.0819,1.789,0.1532,3.947
24327,0,2.67271,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
24393,701.245,1.98708,6.514,5.815,218.91,0.0819,1.82,0.189,3.947
24434,650.244,2.58363,8.083,5.335,103.93,0.1074,2.106,0.1976,5.874
24435,647.304,2.53017,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
24439,620.115,2.62962,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
24440,612.191,2.51454,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
24446,555.378,2.49662,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
