OBJECTID_1,TAP,MAT,pH,AP,AK,TP,TK,TN,OM
267,479.038,-2.44708,6.708,7.122,156.29,0.09715,2.222,0.2338,5.313
268,481.096,-2.56692,6.708,7.122,156.29,0.09715,2.222,0.2338,5.313
354,438.279,-1.69179,7.535,3,140.57,0.04284,2.268,0.1433,2.403
365,485.238,-2.31846,6.406,5.815,218.91,0.07297,1.911,0.1402,2.799
368,501.473,-2.17012,6.406,5.815,218.91,0.07297,1.911,0.1402,2.799
410,474.777,-2.32938,6.406,5.815,218.91,0.07297,1.911,0.1402,2.799
413,483.029,-2.83946,6.708,7.122,156.29,0.09715,2.222,0.2338,5.313
444,446.066,-2.39896,7.026,3,105.15,0.05022,1.91,0.1475,2.636
446,459.421,-1.44625,6.406,5.815,218.91,0.07297,1.911,0.1402,2.799
451,476.73,-1.79888,6.708,7.122,156.29,0.09715,2.222,0.2338,5.313
453,466.952,-1.91308,6.708,7.122,156.29,0.09715,2.222,0.2338,5.313
486,450.646,-2.61833,7.535,3,140.57,0.04284,2.268,0.1433,2.403
495,467.936,-1.75471,6.406,5.815,218.91,0.07297,1.911,0.1402,2.799
527,440.541,-1.67175,7.535,3,140.57,0.04284,2.268,0.1433,2.403
528,444.386,-1.3975,7.535,3,140.57,0.04284,2.268,0.1433,2.403
535,455.792,-2.18529,6.406,5.815,218.91,0.07297,1.911,0.1402,2.799
536,463.149,-1.82475,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
541,472.765,-2.61517,6.708,7.122,156.29,0.09715,2.222,0.2338,5.313
569,431.5,-0.966,7.535,3,140.57,0.04284,2.268,0.1433,2.403
573,443.13,-1.41288,7.458,3,140.57,0.04284,2.267,0.1311,1.806
575,445.94,-1.30633,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
576,455.618,-1.11492,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
608,433.716,-1.26337,7.535,3,140.57,0.04284,2.268,0.1433,2.403
611,437.902,-1.19879,7.458,3,140.57,0.04284,2.267,0.1311,1.806
614,441.098,-1.53204,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
615,452.801,-1.59904,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
647,425.256,-1.08546,6.406,5.815,218.91,0.07297,1.911,0.1402,2.799
649,431.047,-1.14317,7.458,3,140.57,0.04284,2.267,0.1311,1.806
650,433.539,-0.905625,7.458,3,140.57,0.04284,2.267,0.1311,1.806
653,445.728,-1.52683,7.458,3,140.57,0.04284,2.267,0.1311,1.806
654,449.613,-1.85875,7.458,3,140.57,0.04284,2.267,0.1311,1.806
657,461.711,-1.95154,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
665,468.043,-1.85379,6.406,5.815,218.91,0.07297,1.82,0.1151,2.799
686,434.664,-1.36779,7.458,3,140.57,0.04284,2.267,0.1311,1.806
687,442,-1.45325,7.458,3,140.57,0.04284,2.267,0.1311,1.806
699,465.303,-1.8535,6.406,5.815,218.91,0.07297,1.82,0.1151,2.799
717,422.37,-1.03504,7.458,3,140.57,0.04284,2.267,0.1311,1.806
718,431.673,-1.16279,7.458,3,140.57,0.04284,2.267,0.1311,1.806
723,447.328,-1.21625,7.458,3,140.57,0.04284,2.267,0.1311,1.806
729,456.244,-1.67133,7.535,3,140.57,0.04,2.555,0.1262,1.907
733,469.861,-1.91154,6.708,7.122,156.29,0.09715,2.222,0.2338,5.313
750,428.451,-0.830583,7.458,3,140.57,0.04284,2.267,0.1311,1.806
754,441.139,-1.21767,7.458,3,140.57,0.04284,2.267,0.1311,1.806
757,442.849,-1.19021,8.209,5.455,107.89,0.09293,2.602,0.2097,3.887
758,450.188,-1.52317,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
760,452.362,-1.34412,7.535,3,140.57,0.04,2.555,0.1262,1.907
761,464.897,-2.03217,7.535,3,140.57,0.04,2.555,0.1262,1.907
763,476.576,-2.29633,6.708,7.122,156.29,0.09715,2.222,0.2338,5.313
765,478.944,-2.01967,6.708,7.122,156.29,0.09715,2.222,0.2338,5.313
767,483.775,-1.77417,5.089,16,244.48,0.1268,2.164,0.6387,11.09
785,440.345,-1.10513,8.209,5.455,107.89,0.09293,2.602,0.2097,3.887
786,443.608,-1.265,6.406,5.815,218.91,0.07297,1.82,0.1151,2.799
787,445.084,-1.30125,8.209,5.455,107.89,0.09293,2.602,0.2097,3.887
788,448.359,-1.47525,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
789,450.129,-1.50671,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
817,451.491,-1.69996,8.209,5.455,107.89,0.09293,2.602,0.2097,3.887
818,451.89,-1.5815,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
838,427.757,-1.00296,7.535,3,140.57,0.04246,2.267,0.1382,2.052
841,447.741,-1.21438,7.535,3,140.57,0.04246,2.267,0.1382,2.052
843,444.281,-1.29596,8.209,5.455,107.89,0.09293,2.602,0.2097,3.887
845,461.255,-1.83183,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
849,481.846,-2.55933,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
866,441.688,-1.58117,7.535,3,140.57,0.04246,2.267,0.1382,2.052
869,447.331,-1.07842,7.535,3,140.57,0.04246,2.267,0.1382,2.052
871,448.992,-1.52021,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
872,464.548,-2.21783,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
894,443.793,-1.69567,8.209,5.455,107.89,0.09293,2.602,0.2097,3.887
897,457.85,-2.05704,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
916,442.395,-2.03367,8.209,5.455,107.89,0.09293,2.602,0.2097,3.887
919,447.273,-1.56913,7.535,3,140.57,0.04246,2.267,0.1382,2.052
921,459.802,-2.31663,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
922,466.864,-2.77854,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
973,436.296,-1.76767,7.535,3,140.57,0.04246,2.267,0.1382,2.052
980,462.132,-2.06862,7.998,8.554,111.27,0.06078,1.877,0.2502,5.307
1009,456.203,-2.02529,7.998,8.554,111.27,0.06078,1.877,0.2502,5.307
1030,424.895,-1.79908,7.535,3,140.57,0.04246,2.267,0.1382,2.052
1061,422.057,-1.9695,7.535,3,140.57,0.04246,2.267,0.1382,2.052
1096,423.697,-1.78288,8.251,2.569,133.98,0.03959,1.965,0.149,1.845
1162,403.177,-1.08862,8.251,2.569,133.98,0.03959,1.965,0.149,1.845
1205,398.54,-0.988959,8.251,2.569,133.98,0.03959,1.965,0.149,1.845
1206,394.833,-0.795125,8.251,2.569,133.98,0.03959,1.965,0.149,1.845
1401,330.843,0.913333,7.948,6.627,88.19,0.03449,2.392,0.1609,2.896
1580,284.291,0.135124,8.147,6.218,213.07,0.06374,2.033,0.1063,2.316
1964,519.203,-0.906708,6.406,5.815,218.91,0.0819,1.789,0.1532,3.947
1973,532.733,-0.942624,5.915,6.046,113.07,0.1156,2.049,0.2868,7.36
1974,522.044,-1.46279,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
1985,520.96,-0.954916,7.998,7.061,133.62,0.04264,1.877,0.295,5.456
1986,514.542,-0.934417,7.998,7.061,133.62,0.04264,1.877,0.295,5.456
2023,524.709,-1.07012,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
2034,537.108,-1.33817,5.915,6.046,113.07,0.1156,2.049,0.2868,7.36
2045,521.329,-0.740666,5.915,6.046,113.07,0.1156,2.049,0.2868,7.36
2048,513.659,-1.05137,5.955,8.282,142.06,0.1028,2.006,0.2721,5.384
